City_ID,City,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,arraial do cabo,-22.97,72.93,83,3,21.25,BR,1603236721
101,akcaabat,41.02,60.8,87,75,10.29,TR,1603236984
102,tocopilla,-22.09,60.64,64,28,3.58,CL,1603236713
103,jiuquan,39.74,39.58,57,0,1.52,CN,1603236906
104,fort morgan,40.25,57.2,44,1,11.41,US,1603236985
105,saint-leu,-21.15,71.6,60,46,6.93,RE,1603236985
106,iqaluit,63.75,30.2,80,90,6.93,CA,1603236612
107,yulara,-25.24,82.4,42,0,9.17,AU,1603236907
108,esperance,-33.87,59.0,100,90,14.99,AU,1603236891
109,khatanga,71.97,5.67,95,83,8.01,RU,1603236853
110,barrow,71.29,24.8,85,75,11.41,US,1603236865
111,hermanus,-34.42,45.0,93,0,1.01,ZA,1603236851
112,saint-philippe,-21.36,71.6,60,28,6.93,RE,1603236731
113,clyde river,70.47,28.4,79,40,13.87,CA,1603236929
114,jati,24.35,79.02,54,11,7.45,PK,1603236986
115,boa vista,2.82,87.8,48,75,5.82,BR,1603236986
116,port alfred,-33.59,56.28,74,3,9.62,ZA,1603236801
117,klaksvik,62.23,39.2,71,17,5.82,FO,1603236814
118,kukushtan,57.65,35.6,93,75,8.95,RU,1603236987
119,matay,28.42,71.98,59,0,11.65,EG,1603236987
120,taltal,-25.4,60.78,66,26,4.23,CL,1603236987
121,maningrida,-12.07,86.32,53,0,4.23,AU,1603236929
122,south valley,35.01,80.6,9,40,3.33,US,1603236988
123,catamarca,-28.47,64.0,99,96,1.01,AR,1603236988
124,sao filipe,14.9,84.07,61,100,7.7,CV,1603236881
125,calama,-22.47,68.0,15,16,21.92,CL,1603236988
126,kearney,40.7,60.8,44,1,8.05,US,1603236884
127,bara,10.37,76.37,53,43,5.08,NG,1603236988
128,chokurdakh,70.63,9.97,96,87,4.68,RU,1603236712
129,megion,61.03,35.6,93,90,2.24,RU,1603236989
130,marfino,55.7,36.0,80,75,13.42,RU,1603236909
131,guerrero negro,27.98,73.78,73,5,17.72,MX,1603236870
132,el alto,-4.27,63.05,89,20,13.44,PE,1603236989
133,noumea,-22.28,82.99,61,20,10.29,NC,1603236989
134,geilo,60.53,30.0,88,100,0.56,NO,1603236989
135,cotonou,6.37,80.6,88,40,10.29,BJ,1603236989
136,sistranda,63.73,35.6,80,100,9.17,NO,1603236745
137,bereda,43.27,55.99,100,100,7.0,ES,1603236990
138,namatanai,-3.67,85.06,67,54,0.78,PG,1603236860
